日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2008/12/31,'600690,青岛海尔,8.99,9.11,8.95,9,8.96,0.03,0.3348,0.4344,3282930,29620509,12033283742,6793696908
2008/12/30,'600690,青岛海尔,8.96,9.14,8.95,9.14,9.11,-0.15,-1.6465,0.8335,6298338,56876598,11993128179,6771026062
2008/12/29,'600690,青岛海尔,9.11,9.15,8.72,9.04,9.08,0.03,0.3304,0.5105,3857607,34625145,12193905995,6884380293
2008/12/26,'600690,青岛海尔,9.08,9.25,8.97,9.15,9.14,-0.06,-0.6565,0.4644,3509386,31741639,12153750432,6861709447
2008/12/25,'600690,青岛海尔,9.14,9.54,9.1,9.3,9.14,0,0,1.0517,7947308,74469400,12234061558,6907051139
2008/12/24,'600690,青岛海尔,9.14,9.28,8.96,9.03,9.07,0.07,0.7718,0.6464,4885165,44697401,12234061558,6907051139
2008/12/23,'600690,青岛海尔,9.07,9.68,9.01,9.68,9.6,-0.53,-5.5208,0.9348,7064020,66358435,12140365244,6854152498
2008/12/22,'600690,青岛海尔,9.6,9.98,9.49,9.9,9.95,-0.35,-3.5176,1.2419,9385143,90804021,12849780192,7254670781
2008/12/19,'600690,青岛海尔,9.95,10.01,9.81,9.81,9.8,0.15,1.5306,0.6301,4761519,47327292,13318261762,7519163986
2008/12/18,'600690,青岛海尔,9.8,9.9,9.63,9.8,9.77,0.03,0.3071,0.4235,3200273,31248875,13117483946,7405809755
2008/12/17,'600690,青岛海尔,9.77,10.01,9.75,9.87,9.85,-0.08,-0.8122,0.5825,4401710,43578121,13077328383,7383138909
2008/12/16,'600690,青岛海尔,9.85,9.92,9.28,9.38,9.36,0.49,5.235,1.2641,9552706,92225960,13184409885,7443594499
2008/12/15,'600690,青岛海尔,9.36,9.66,9.3,9.48,9.42,-0.06,-0.6369,0.9277,7010691,66090788,12528535687,7073304011
2008/12/12,'600690,青岛海尔,9.42,9.74,9.3,9.55,9.75,-0.33,-3.3846,0.88,6650349,62917097,12608846813,7118645704
2008/12/11,'600690,青岛海尔,9.75,10.3,9.74,10.07,10.02,-0.27,-2.6946,0.9773,7385471,74107252,13050558008,7368025012
2008/12/10,'600690,青岛海尔,10.02,10.06,9.79,9.87,9.89,0.13,1.3145,0.7778,5877873,58497321,13411958075,7572062627
2008/12/9,'600690,青岛海尔,9.89,10.39,9.87,10.39,10.34,-0.45,-4.352,1.2793,9667887,97391259,13237950635,7473822294
2008/12/8,'600690,青岛海尔,10.34,10.5,10.1,10.12,10.1,0.24,2.3762,1.5175,11467559,118027702,13840284082,7813884987
2008/12/5,'600690,青岛海尔,10.1,10.2,9.81,9.89,9.99,0.11,1.1011,0.9893,7476052,75152390,13519039577,7632518217
2008/12/4,'600690,青岛海尔,9.99,10.36,9.95,10.16,9.96,0.03,0.3012,2.8802,21765678,222052834,13371802512,7549391781
2008/12/3,'600690,青岛海尔,9.96,10.11,9.55,9.67,9.65,0.31,3.2124,2.8254,21351059,211454436,13331646949,7526720935
2008/12/2,'600690,青岛海尔,9.65,9.98,9,9.05,9.27,0.38,4.0992,4.4909,33937175,325541234,12916706131,7292455524
2008/12/1,'600690,青岛海尔,9.27,9.65,9.09,9.3,8.96,0.31,3.4598,2.654,20056021,186534474,12408068998,7005291473
2008/11/28,'600690,青岛海尔,8.96,9.05,8.83,8.84,8.98,-0.02,-0.2227,0.6094,4605502,41238043,11993128179,6771026062
2008/11/27,'600690,青岛海尔,8.98,9.4,8.84,9.28,8.68,0.3,3.4562,1.6918,12784724,116520877,12019898555,6786139960
2008/11/26,'600690,青岛海尔,8.68,8.82,8.54,8.73,8.79,-0.11,-1.2514,0.3725,2815017,24382469,11618342924,6559431498
2008/11/25,'600690,青岛海尔,8.79,9.02,8.52,8.91,8.81,-0.02,-0.227,0.5237,3957363,34749469,11765579988,6642557934
2008/11/24,'600690,青岛海尔,8.81,9.29,8.72,8.9,9,-0.19,-2.1111,0.8148,6157201,55312661,11792350364,6657671831
